university,city,province,ownership,soft_ranking_2026,soft_ranking_type,soft_subject_rank_2026,new_student_count_2026,new_student_count_type,data_status,ranking_source,enrollment_source,notes
重庆大学,重庆,重庆,公办,34,中国大学排名主榜,, ,未查到公开的校级2026实际新生数,已核验排名；新生数待官方公布,https://www.shanghairanking.cn/rankings/bcur/2026,https://www.cqksy.cn/,以官方录取/报到数据为准
西南大学,重庆,重庆,公办,61,中国大学排名主榜,, ,未查到公开的校级2026实际新生数,已核验排名；新生数待官方公布,https://www.shanghairanking.cn/rankings/bcur/2026,https://www.cqksy.cn/,以官方录取/报到数据为准
重庆医科大学,重庆,重庆,公办,81,中国大学排名主榜,医药类第9, ,未查到公开的校级2026实际新生数,已核验排名；新生数待官方公布,https://www.shanghairanking.cn/rankings/bcur/2026,https://www.cqksy.cn/,以官方录取/报到数据为准
西南政法大学,重庆,重庆,公办,124,中国大学排名主榜,政法类第3, ,未查到公开的校级2026实际新生数,已核验排名；新生数待官方公布,https://www.shanghairanking.cn/rankings/bcur/2026,https://www.cqksy.cn/,以官方录取/报到数据为准
重庆邮电大学,重庆,重庆,公办,147,中国大学排名主榜,, ,未查到公开的校级2026实际新生数,已核验排名；新生数待官方公布,https://www.shanghairanking.cn/rankings/bcur/2026,https://www.cqksy.cn/,以官方录取/报到数据为准
重庆交通大学,重庆,重庆,公办,191,中国大学排名主榜,, ,未查到公开的校级2026实际新生数,已核验排名；新生数待官方公布,https://www.shanghairanking.cn/rankings/bcur/2026,https://www.cqksy.cn/,以官方录取/报到数据为准
重庆师范大学,重庆,重庆,公办,215,中国大学排名主榜,,3466,2026年在渝招生计划（非实际新生数）,排名已核验；招生计划代理值,https://www.shanghairanking.cn/rankings/bcur/2026,https://www.gk100.com/read_19989758.htm,计划数不等于最终录取或报到人数
重庆理工大学,重庆,重庆,公办,243,中国大学排名主榜,,3976,2026年在渝招生计划（非实际新生数）,排名已核验；招生计划代理值,https://www.shanghairanking.cn/rankings/bcur/2026,https://www.gk100.com/read_19989758.htm,计划数不等于最终录取或报到人数
四川外国语大学,重庆,重庆,公办,241,中国大学排名主榜,语言类第10, ,未查到公开的校级2026实际新生数,已核验排名；新生数待官方公布,https://www.shanghairanking.cn/rankings/bcur/2026,https://www.cqksy.cn/,以官方录取/报到数据为准
重庆科技大学,重庆,重庆,公办,279,中国大学排名主榜,, ,未查到公开的校级2026实际新生数,已核验排名；新生数待官方公布,https://www.shanghairanking.cn/rankings/bcur/2026,https://www.cqksy.cn/,以官方录取/报到数据为准
重庆文理学院,重庆,重庆,公办,307,中国大学排名主榜,, ,未查到公开的校级2026实际新生数,已核验排名；新生数待官方公布,https://www.shanghairanking.cn/rankings/bcur/2026,https://www.cqksy.cn/,以官方录取/报到数据为准
重庆警察学院,重庆,重庆,公办,340,中国大学排名主榜,政法类第16, ,未查到公开的校级2026实际新生数,已核验排名；新生数待官方公布,https://www.shanghairanking.cn/rankings/bcur/2026,https://www.cqksy.cn/,以官方录取/报到数据为准
长江师范学院,重庆,重庆,公办,345,中国大学排名主榜,, ,未查到公开的校级2026实际新生数,已核验排名；新生数待官方公布,https://www.shanghairanking.cn/rankings/bcur/2026,https://www.cqksy.cn/,以官方录取/报到数据为准
重庆三峡学院,重庆,重庆,公办,380,中国大学排名主榜,, ,未查到公开的校级2026实际新生数,已核验排名；新生数待官方公布,https://www.shanghairanking.cn/rankings/bcur/2026,https://www.cqksy.cn/,以官方录取/报到数据为准
重庆第二师范学院,重庆,重庆,公办,433,中国大学排名主榜,, ,未查到公开的校级2026实际新生数,已核验排名；新生数待官方公布,https://www.shanghairanking.cn/rankings/bcur/2026,https://www.cqksy.cn/,以官方录取/报到数据为准
重庆工商大学,重庆,重庆,公办,232,中国大学排名主榜,财经类第20,4010,2026年在渝招生计划（非实际新生数）,排名已核验；招生计划代理值,https://www.shanghairanking.cn/rankings/bcur/2026,https://www.gk100.com/read_19989758.htm,计划数不等于最终录取或报到人数
重庆人文科技学院,重庆,重庆,民办,10,民办高校主榜,,5460,2026年在渝招生计划（非实际新生数）,排名已核验；招生计划代理值,https://www.shanghairanking.cn/rankings/bcur/2026,https://www.gk100.com/read_19989758.htm,民办榜名次，不与主榜名次直接比较
重庆城市科技学院,重庆,重庆,民办,55,民办高校主榜,,4251,2026年在渝招生计划（非实际新生数）,排名已核验；招生计划代理值,https://www.shanghairanking.cn/rankings/bcur/2026,https://www.gk100.com/read_19989758.htm,民���榜名次，不与主榜名次直接比较
重庆移通学院,重庆,重庆,民办,77,民办高校主榜,,4630,2026年在渝招生计划（非实际新生数）,排名已核验；招生计划代理值,https://www.shanghairanking.cn/rankings/bcur/2026,https://www.gk100.com/read_19989758.htm,民办榜名次，不与主榜名次直接比较
重庆财经学院,重庆,重庆,民办,7,民办财经类榜,, ,未查到公开的校级2026实际新生数,已核验排名；新生数待官方公布,https://www.shanghairanking.cn/rankings/bcur/2026,https://www.cqksy.cn/,民办财经类榜名次
重庆对外经贸学院,重庆,重庆,民办,22,民办财经类榜,, ,未查到公开的校级2026实际新生数,已核验排名；新生数待官方公布,https://www.shanghairanking.cn/rankings/bcur/2026,https://www.cqksy.cn/,民办财经类榜名次
